content,label
"Chị đặt áo hồng bé gái size 140 nhé đặt luôn hộ chị không hết hàng . Chị thấy thông_báo mua 3 ngày hôm_nay không phải đặt_cọc mà , đặt hộ chị luôn nhé",ordering
Nhận hộ áo xanh coban size M nhé,ordering
cho một trà đào cam sả size m,ordering
 1 dâu size m .,ordering
 1 trà sữa bánh pudding size L nha bạn .,ordering
B ơi m ck cho b r nhé.m lấy 1 màu ghi 1 màu xanh tím_than size M nhé.số đt 0986231568,ordering
cho mình 1 cốc sinh tố việt quất size m,ordering
 - cho em 1 trà sữa hoàng gia size to và 1 đĩa nem rán .,ordering
 1 cốc trà sữa ô long trân châu sz M nữa bạn nhé .,ordering
cho 1 ly latte đá size regular đến 72 duy tân,ordering
 ship e 1 trà sữa bặc hà pudding size L đến số nhà 8 nghách 60 ngõ 157 chùa láng với ạ .,ordering
"em inbox rồi ạ , cho em thêm 1 nâu + ghi sẫm size S nhé , sđt 0986.398.389 chị gửi kèm hàng cùng đơn hôm trước giúp em .",ordering
 Cho em 1 cốc trà sữa panda size L ạ .,ordering
1 cappucino nóng size regular,ordering
"Mình 01 trắng , size S điện thoại : 0901796682",ordering
cho mình thêm 2 cà phê đen đá size small và 1 cà phê đen đá size regular,ordering
 Tất cả đều size M nhé .,ordering
cho mình 1 trà nho đen nóng size small và 1 trà nho đen nóng size regular,ordering
cho 5 cốc latte nóng size vừa,ordering
1 trà đen macchiato size regular,ordering
cho tôi một cốc cà phê nóng size nhỏ,ordering
Bich_Ngoc_Le : cho em cai ke xanh size M nhoes,ordering
cho 1 cốc cà phê đen size nhỏ đến 75 duy tân,ordering
cho mình thêm 1 americano đá size nhỏ nữa,ordering
 lỡ rồi thì size m đi .,ordering
2 cốc Cookies Đá Xay size regular,ordering
 vậy thêm cho em 1ly truyền thống size M ạ .,ordering
" cho chị 1 cốc trà sữa 3 anh em, size M, ít đá ít đường nhất có thể .",ordering
Chị ơi em mua áo heattech,ordering
 Bạn ship cho mình 5 cốc trà sữa bạc hà size lớn add topping chân trâu sợi+ thạch cafe .,ordering
c muon dat size L,ordering
1 mocha nóng size regular,ordering
cho mình 1 chocolate đá xay size m,ordering
cho tôi một cốc capuchino size vừa,ordering
