content,label
Đặt 1 đôi size 38 nhé,ordering
Em đăng ký bộ vàng mẫu mặc size M với bộ xanh size S nhé,ordering
cho cái màu hồng size M&L,ordering
 Mình vừa báo lại 5 cốc size m nhé,ordering
cho một trà đào cam sả size s,ordering
Cho mình 1 cái size M nhé . Tks shop,ordering
 thế cho mình 2 cốc 3 anh em size M . ,ordering
"Tớ order mau hồng cánh_sen size M , đặt dc inform tớ ck nhé",ordering
cho mình thêm 1 americano đá size nhỏ nữa,ordering
Shop ơi cho mình đặt đôi này . size 37.5,ordering
cho thêm 2 nâu nóng size regular nữa nhé,ordering
Chị 1 navy size M ,ordering
 Cho em một hồng trà kem phô mai size m với ạ .,ordering
1 trà hoa đậu biếc macchiato size regular,ordering
 ship cho chi 2 coc tra sua size L co tran trau .,ordering
"Mình order 1 size L mầu navy , 1 size s màu đen . Đăng_ký ck thế_nào bạn ?",ordering
" Cho e 1 trà xanh chanh quất mật ong,tsữa dưa gang,yaku xoài size lớn hết .",ordering
"Hoàng_Tùng đặt cho cô chiếc màu đỏ , size 140 ",ordering
Mình muốn lấy 2cái extra nam size M và 2 quần nam ,ordering
 ship cho mình 1 trà sữa bạc size L hà Đến bệnh Viện phụ sản Hà Nội.  SĐT : 0976555629 .,ordering
1 trà đen macchiato size regular,ordering
em đặt cái này size L nhé,ordering
1 tách Americano Đá size regular,ordering
Cho mình đặt 2 chiếc màu navy size L nhé . 60kg là mặc vừa bạn nhỉ ?,ordering
Vậy thêm 1cái size L mầu green nhé,ordering
Cho mình 1 tím hồng size M nhé . Không thấy link đâu,ordering
cho một trà đào size lớn,ordering
Ship mình theo số 0979662489 size L ,ordering
 Cho em 1 toco socala với 1 hokaido size M .,ordering
"Cho mình đặt 02 màu trắng size M , 2 đen sizeM nhé",ordering
1 mojito chanh tươi size regular,ordering
Áo nam hay nữ vậy ạ ? Áo nam thì shop ship cho em 1 áo ghi size 150 ,ordering
cho thêm 1 trà chanh đá size s,ordering
Cháu đăt cho cô áo sơ_mi kẻ vàng size m nhé,ordering
Mình lấy áo này size S.0983153019,ordering
"cho mình màu nâu size S , mẹ mình cao 1m5 chắc mặc size S vừa",ordering
 Bạn ơi ship cho mình 1 trà sữa bạc hà size M nhiều trân châu nha .,ordering
cho mình 1 cà phê đen đá size s và 1 cà phê đen đá size m vào đơn hang,ordering
cho một toffee hạnh nhân size s,ordering
" ok 3 toco panda, large size .",ordering
cho 2 cà phê sữa đá size small và 2 ly cà phê sữa đá size regular,ordering
cho mình 1 trà nho đen nóng size small và 1 trà nho đen nóng size regular,ordering
1 mojito chanh tươi size regular,ordering
 2 size l.1 size m nhé .,ordering
Cho minh mau hong size M ban nhe !,ordering
Mình muốn lấy 1 áo size 140 không màu blue . Phòng vé 1 quang trung hoàn kiếm hà nội 0989998575,ordering
cho mình một mocha size small và 1 mocha size regular,ordering
ban oi minh oder 1 cai màu trắng size 32 của nữ nhe,ordering
"cho chị đặt bộ mẫu hoa vàng , size L , mang qua 17 Ngô_Quyền nhé",ordering
Cho mình cái này size S nhé .,ordering
Tớ đặt một đôi size 37 nhé bạn Nhật_Quang,ordering
 Mình muốn mua 5 cốc trà sữa vị hokkaido size L .,ordering
cho một cốc latte nóng size nhỏ,ordering
cho một black tea macchiato size small,ordering
cho mình 1 black tea macchiato size small,ordering
 Tất cả đều size M nhé  ,ordering
cho một trà đen váng sữa size s,ordering
cho mình thêm 1 trà nho đen size m,ordering
1 caramel đá xay size regular,ordering
cho minh dat cai size S mau hong nhe,ordering
cho mình 1 cà phê sữa đá size small và 1 cà phê sữa đá size regular,ordering
tớ 1 áo khoác chống nước màu navy size m,ordering
Cho chị order cái này màu ghi size S ,ordering
 size L nhé .,ordering
1 mocha đá size regular  ,ordering
Cho mình 1 cái màu xanh size 160 ,ordering
 Mình mua 2 cốc size lớn .,ordering
Shop ship cho mình áo này size m với.số điện thoại 0982933589 nhé,ordering
cho thêm 1 americano nóng size small,ordering
Mình cũng hay mặc size S nhưng muốn mua áo màu cam đc ko b?mình là nữ,ordering
"sample: [chị ơi, làm cho em 1 soda việt quất sz S,chị ơi, làm cho em 1 soda việt quất size S]",ordering
 Ship cho mình 3 hộp trà sữa kim cương đen size L đến 116 chùa láng nhé .,ordering
ship giúp c 1 áo màu xám + 1 áo màu vàng size M nhé_c đã inbox sdt & địa_chỉ e rồi,ordering
 hai cốc đều size L và có trân châu nhé,ordering
1 nước cam tươi 100% size regular,ordering
cho mình đặt cái size S màu hồng nhé,ordering
Thêm đôi này size w9/25cm nữa,ordering
" Cho m 1 trà sữa hokkaidou thêm nhân lô hội. 1 matchiato matcha, 1 yakult xoài. Đều sz M ạ. .",ordering
cho mình 1 americano size small và 1 americano size medium,ordering
cho một trà xanh size m,ordering
 Mình mua 2 cóc size lớn .,ordering
 2 size l. 1size m nhé ,ordering
Cho minh dat 1 doi size 37 ,ordering
1 cappucino nóng size regular,ordering
