content,label
cho mình 1 sinh tố việt quất size small và một sinh tố việt quất size regular,ordering
cho thêm 1 matcha latte size m,ordering
 Ship cho mình 2 trà sữa dâu size M + topping đến 361 cầu giấy đc k ạ? .,ordering
cho một trà đào cam sả size l,ordering
Cho m 1 đỏ 1 xanh navy k mũ size 150 nhé . Shop đặt hộ m k lại hết . Lần trc đã bị hụt rồi,ordering
Chị lấy 1 áo này màu trắng nhé,ordering
1 cà phê sữa nóng size regular,ordering
cho tôi đặt hàng : 1 latte nóng size regular,ordering
Cho một cốc americano nóng size regular,ordering
cho 2 cốc latte nóng size nhỏ đến  75 duy tân,ordering
1 caramel machiato đá   size regular,ordering
 ship cho mình 1 2 trà sữa 3 ae 50% đường và 1 1 trà sữa bánh Pudding. size M hết ạ .,ordering
 1 trà sữa kim cương đen okinawa size M. 1 toco socola size . 1 mứt việt quất sữa chua đá say .,ordering
1 matcha đá xay size regular,ordering
C order quan rieng co dc k ? Mau đen size M ,ordering
Mày mặc size gì thế ? Tớ lấy màu ghi sáng đi . Mày có lấy không ?,ordering
1 espresso sữa đá   size regular,ordering
 cho em 1 trà sữa trà xanh size M đến 185 tôn đức thắng nhé .,ordering
cho anh mua 1 cái màu xanh ,ordering
Để mình size S nhé,ordering
" À, cho mình 2 sz L nhé .",ordering
03 Grey size L nhé . Mình đang chọn thêm cái khác nữa . Sẽ chuyển nửa tiền luôn .,ordering
1 trà đào cam sả size regular,ordering
Mình lấy màu ghi size 140,ordering
cho một cốc latte nóng size nhỏ,ordering
 3 cốc boba size m nhé .,ordering
Ship cho e 1 Macchiato hoàng gia sz L cho thêm chân trâu sợi vs macchiato nhé.,ordering
 Cho mình 1 trà sữa trân châu hoàng gia size L với 1 trà sữa size L với nha .,ordering
 vậy thêm cho e 1ly truyền thốg size M ạ .,ordering
 Làm cho em 1 ly yakul xoài size m có thêm thạch matcha tý 9h em về qua lấy được không ạ .,ordering
Mình muốn lấy 2áo extra nam size M và 2 quần nam ,ordering
" Ship cho mình 4 cốc ba anh em size M. 3 cốc 30%đá, 1 cốc 50% đá bạn nhé .",ordering
Cho mình màu xanh size 160 nhé shop,ordering
"Ship cho mình cái màu xanh size 150 đến địa chỉ P1609 toà B chung_cư 789 Mỹ_Đình 1 , Nam Từ_Liêm , Hà nội. Điện thoại 0904310277 . Thanh_toán khi nhận hàng bạn nhé .",ordering
"Mai ơi , của chị có 1 trần trám , 2 áo len tăm size tổng tiên 1610000 . Ship cho chị luôn đi",ordering
 Làm cho em 1 ly yakul xoài size m có thêm thạch matcha tý 9h e về qua lấy dkd k ạ .,ordering
Cho chị order 1 set size S màu nâu nhé .,ordering
mình dặt áo cam size m ,ordering
 em đặt 3 trà sữa vị trà xanh size vừa ak .,ordering
"Cho mình đặt NAVY size M nhé . Ship số 1 Quang_Trung , Hànội .",ordering
Cho chị cái Gray size XL nhé,ordering
" Trà sữa ba anh em , size L .",ordering
cho một trà xanh size m,ordering
Ban oi minh dat 1 Chiec size L nhe,ordering
cho mình order 1 set mầu trắng cổ tròn size M ,ordering
"Đặt cho cô áo_khoác lông cừu nữ size s màu tím nhé , link áo không vào được đâu",ordering
Mình lấy 1cái này màu như hình size 150 nhé!0982948084,ordering
1 soda việt quất size regular,ordering
"Chị ơi , còn sale không ạ . Em lấy 1 màu trắng , size 160 ",ordering
1 espresso sữa nóng size regular,ordering
Shop ship cho em cái này size M nhé,ordering
1 mocha hạnh nhân đá size regular,ordering
cho thêm 1 trà đào cam sả size small,ordering
1 tách Americano Đá size small,ordering
cho 1 ly latte đá size regular đến 72 duy tân,ordering
"Đặt cô 2 áo 2 màu giá 749y ấy nhé , size 75A ",ordering
Cho minh dat size 160 mau xanh nhe,ordering
cho 1 mojito chanh leo size small,ordering
 Cho mình 1 trà sữa kim cương đen size M thêm chân châu nhé .,ordering
"cho mình áo màu đen, áo bomber size m",ordering
 Bạn ship cho mình 2 cốc trà sữa size L cho mình đến số 6b ngõ 90 Hoa Bằng .,ordering
Cho mình 1 đỏ 1 xanh navy không mũ size 150 nhé . Shop đặt hộ mình không lại hết . Lần trước đã bị hụt rồi,ordering
" cho chị 1 cốc trà sữa 3 anh em, size M, ít đá ít đường nhất có thể .",ordering
cho một latte nóng size regular,ordering
cho 2 trà nho đen đá size m đến 87 duy tân,ordering
cho 4 cốc latte nóng size nhỏ,ordering
" ok 3 toco panda, large size .",ordering
1 caramel đá xay size regular,ordering
cho mình 1 trà sữa size s,ordering
ship cho mình 1 caramen macchiato và 1 mocha đá size s đến 82 duy tân nhé,ordering
1 cà phê sữa đá   size regular,ordering
Shop ơi em đặt cái đen size 160 và màu kem nhé,ordering
cho một cốc cà phê nâu nóng size vừa,ordering
 size M .,ordering
1 tách Cà Phê Đen Đá size small,ordering
 Cho em 3 kim cương đen trân châu đen size L với nha .,ordering
1 sinh tố việt quất size regular,ordering
"Cho minh 1 cai nay size M nhe , dia chi minh ib_a",ordering
Màu rêu size s 187 giảng võ số điện thoại 0979668266,ordering
cho 7 latte nóng size nhỏ đến 15 duy tân,ordering
cho một cốc lattee nóng size nhỏ,ordering
Áo này size M_Đặt đc Ko ạ ?,ordering
cho 5 cốc latte nóng size vừa,ordering
1 cappucino đá   size regular,ordering
mình muốn đặt Cái này size 140cm,ordering
cho một cốc latte nóng size regular,ordering
1 mocha nóng size regular,ordering
"ôi XS hết sạch size rồi à , còn mỗi ghi sáng , cho t1 ghi sáng XS nhé .",ordering
"Mình 01 trăng , size S đt : 0901796682",ordering
 hai coc deu size L và có trân trâu nhé,ordering
