content,label
cho mình 1 sinh tố việt quất size small và một sinh tố việt quất size regular,ordering
Đặt 1 đôi size 38 nhé,ordering
Em đăng ký bộ vàng mẫu mặc size M với bộ xanh size S nhé,ordering
cho cái màu hồng size M&L,ordering
"cho mình cái vàng ,size s nhé",ordering
cho thêm 1 matcha latte size m,ordering
em muốn đặt đôi này size 23 cm ,ordering
 Mình vừa báo lại 5 cốc size m nhé,ordering
ship cho mình 1 caramen macchiato và 1 mocha đá size s đến 82 duy tân nhé,ordering
cho một trà đào cam sả size s,ordering
"Chị đặt áo hồng bé gái size 140 nhé đặt luôn hộ chị không hết hàng . Chị thấy thông_báo mua 3 ngày hôm_nay không phải đặt_cọc mà , đặt hộ chị luôn nhé",ordering
Nhận hộ áo xanh coban size M nhé,ordering
 là 5 cốc size M nhé .,ordering
cho một trà đào cam sả size m,ordering
 Ship cho mình 2 trà sữa dâu size M + topping đến 361 cầu giấy đc k ạ? .,ordering
Cho mình 1 cái size M nhé . Tks shop,ordering
cho một trà đào cam sả size l,ordering
Cho m 1 đỏ 1 xanh navy k mũ size 150 nhé . Shop đặt hộ m k lại hết . Lần trc đã bị hụt rồi,ordering
 thế cho mình 2 cốc 3 anh em size M . ,ordering
Chị lấy 1 áo này màu trắng nhé,ordering
 1 dâu size m .,ordering
"Cho minh cai vang , size s nhe",ordering
 1 trà sữa bánh pudding size L nha bạn .,ordering
B ơi m ck cho b r nhé.m lấy 1 màu ghi 1 màu xanh tím_than size M nhé.số đt 0986231568,ordering
cho mình 1 cốc sinh tố việt quất size m,ordering
"Tớ order mau hồng cánh_sen size M , đặt dc inform tớ ck nhé",ordering
1 cà phê sữa nóng size regular,ordering
 - cho em 1 trà sữa hoàng gia size to và 1 đĩa nem rán .,ordering
 1 cốc trà sữa ô long trân châu size M nữa bạn nhé .,ordering
cho tôi đặt hàng : 1 latte nóng size regular,ordering
cho mình thêm 1 americano đá size nhỏ nữa,ordering
 1 cốc trà sữa ô long trân châu sz M nữa bạn nhé .,ordering
Cho một cốc americano nóng size regular,ordering
cho 1 ly latte đá size regular đến 72 duy tân,ordering
cho 2 cốc latte nóng size nhỏ đến  75 duy tân,ordering
Shop ơi cho mình đặt đôi này . size 37.5,ordering
 ship e 1 trà sữa bặc hà pudding size L đến số nhà 8 nghách 60 ngõ 157 chùa láng với ạ .,ordering
1 caramel machiato đá   size regular,ordering
"em inbox rồi ạ , cho em thêm 1 nâu + ghi sẫm size S nhé , sđt 0986.398.389 chị gửi kèm hàng cùng đơn hôm trước giúp em .",ordering
 ship cho mình 1 2 trà sữa 3 ae 50% đường và 1 1 trà sữa bánh Pudding. size M hết ạ .,ordering
cho thêm 2 nâu nóng size regular nữa nhé,ordering
Chị 1 navy size M ,ordering
1 soda táo xanh size regular,ordering
 Cho em một hồng trà kem phô mai size m với ạ .,ordering
 1 trà sữa kim cương đen okinawa size M. 1 toco socola size . 1 mứt việt quất sữa chua đá say .,ordering
1 matcha đá xay size regular,ordering
 Cho em 1 cốc trà sữa panda size L ạ .,ordering
1 trà hoa đậu biếc macchiato size regular,ordering
C order quan rieng co dc k ? Mau đen size M ,ordering
"Ship cho mình cái màu xanh size 150 đến đc P1609 toà B chung_cư 789 Mỹ_Đình 1 , Nam Từ_Liêm , HN. Đt 0904310277 . Thanh_toán khi nhận hàng bạn nhé .",ordering
1 trà đào cam sả size regular,ordering
1 cappucino nóng size regular,ordering
1 latte đá   size regular,ordering
 ship cho chi 2 coc tra sua size L co tran trau .,ordering
Đỗ_Thành ơi chị order đen size L với,ordering
"Mình order 1 size L mầu navy , 1 size s màu đen . Đăng_ký ck thế_nào bạn ?",ordering
" Cho e 1 trà xanh chanh quất mật ong,tsữa dưa gang,yaku xoài size lớn hết .",ordering
"Hoàng_Tùng đặt cho cô chiếc màu đỏ , size 140 ",ordering
"Mình 01 trắng , size S điện thoại : 0901796682",ordering
1 áo khoác chống nước size XL nhé shop,ordering
Mình muốn lấy 2cái extra nam size M và 2 quần nam ,ordering
Mày mặc size gì thế ? Tớ lấy màu ghi sáng đi . Mày có lấy không ?,ordering
1 espresso sữa đá   size regular,ordering
 cho em 1 trà sữa trà xanh size M đến 185 tôn đức thắng nhé .,ordering
cho anh mua 1 cái màu xanh ,ordering
cho mình thêm 2 cà phê đen đá size small và 1 cà phê đen đá size regular,ordering
C lấy 1 áo màu trắng nhé .,ordering
 Tất cả đều size M nhé .,ordering
1 latte đá   size regular,ordering
1 tách Cà Phê Đen Nóng size regular,ordering
1 espresso nóng size regular,ordering
cho mình 1 trà nho đen nóng size small và 1 trà nho đen nóng size regular,ordering
cho 5 cốc latte nóng size vừa,ordering
 ship cho mình 1 trà sữa bạc size L hà Đến bệnh Viện phụ sản Hà Nội.  SĐT : 0976555629 .,ordering
cho một trà chanh size m,ordering
1 trà đen macchiato size regular,ordering
1 trà đen macchiato size regular,ordering
cho tôi một cốc cà phê nóng size nhỏ,ordering
Bich_Ngoc_Le : cho em cai ke xanh size M nhoes,ordering
em đặt cái này size L nhé,ordering
Tớ cái tím size m nhé,ordering
cho 1 cốc cà phê đen size nhỏ đến 75 duy tân,ordering
Để mình size S nhé,ordering
cho mình thêm 1 americano đá size nhỏ nữa,ordering
1 tách Americano Đá size regular,ordering
Cho mình đặt 2 chiếc màu navy size L nhé . 60kg là mặc vừa bạn nhỉ ?,ordering
Vậy thêm 1cái size L mầu green nhé,ordering
" À, cho mình 2 sz L nhé .",ordering
 là 5 cốc size M nhé .,ordering
03 Grey size L nhé . Mình đang chọn thêm cái khác nữa . Sẽ chuyển nửa tiền luôn .,ordering
1 trà đào cam sả size regular,ordering
Mình lấy màu ghi size 140,ordering
 lỡ rồi thì size m đi .,ordering
2 cốc Cookies Đá Xay size regular,ordering
Cho mình 1 tím hồng size M nhé . Không thấy link đâu,ordering
 Cho em 4 cốc vị 3 anh em size M .,ordering
cho một cốc latte nóng size nhỏ,ordering
 vậy thêm cho em 1ly truyền thống size M ạ .,ordering
 3 cốc boba size m nhé .,ordering
" cho chị 1 cốc trà sữa 3 anh em, size M, ít đá ít đường nhất có thể .",ordering
Ship cho e 1 Macchiato hoàng gia sz L cho thêm chân trâu sợi vs macchiato nhé.,ordering
Chị ơi em mua áo heattech,ordering
cho một trà đào size lớn,ordering
Ship mình theo số 0979662489 size L ,ordering
 Cho mình 1 trà sữa trân châu hoàng gia size L với 1 trà sữa size L với nha .,ordering
chiều tối chị qua chị đặt em cái áo chống nắng màu xanh size L ,ordering
cho thêm 1 matcha latte size m,ordering
Bạn ơi mình đặt 1 chiếc size L nhé,ordering
 vậy thêm cho e 1ly truyền thốg size M ạ .,ordering
 Cho em 1 toco socala với 1 hokaido size M .,ordering
Mình chọn màu Navy size L và màu green size M cùng mẫu Link mình gửi,ordering
 Làm cho em 1 ly yakul xoài size m có thêm thạch matcha tý 9h em về qua lấy được không ạ .,ordering
Mình muốn lấy 2áo extra nam size M và 2 quần nam ,ordering
" Ship cho mình 4 cốc ba anh em size M. 3 cốc 30%đá, 1 cốc 50% đá bạn nhé .",ordering
"Cho mình đặt 02 màu trắng size M , 2 đen sizeM nhé",ordering
1 mojito chanh tươi size regular,ordering
