content,label
"cho mình cái vàng ,size s nhé",ordering
em muốn đặt đôi này size 23 cm ,ordering
ship cho mình 1 caramen macchiato và 1 mocha đá size s đến 82 duy tân nhé,ordering
 là 5 cốc size M nhé .,ordering
"Cho minh cai vang , size s nhe",ordering
 1 cốc trà sữa ô long trân châu size M nữa bạn nhé .,ordering
1 soda táo xanh size regular,ordering
"Ship cho mình cái màu xanh size 150 đến đc P1609 toà B chung_cư 789 Mỹ_Đình 1 , Nam Từ_Liêm , HN. Đt 0904310277 . Thanh_toán khi nhận hàng bạn nhé .",ordering
1 trà đào cam sả size regular,ordering
1 latte đá   size regular,ordering
Đỗ_Thành ơi chị order đen size L với,ordering
1 áo khoác chống nước size XL nhé shop,ordering
C lấy 1 áo màu trắng nhé .,ordering
1 latte đá   size regular,ordering
1 tách Cà Phê Đen Nóng size regular,ordering
1 espresso nóng size regular,ordering
cho một trà chanh size m,ordering
Tớ cái tím size m nhé,ordering
 là 5 cốc size M nhé .,ordering
 Cho em 4 cốc vị 3 anh em size M .,ordering
chiều tối chị qua chị đặt em cái áo chống nắng màu xanh size L ,ordering
cho thêm 1 matcha latte size m,ordering
Bạn ơi mình đặt 1 chiếc size L nhé,ordering
Mình chọn màu Navy size L và màu green size M cùng mẫu Link mình gửi,ordering
"chị ui!để luôn cho em1 đỏ mận size S , nâu size XS!nhớ nhớ đó!xong ship luôn vào đống adidas cho em nhé",ordering
" Bạn ơi ship cho mình 3 cốc trà sữa 3 anh em, 70% đường, size M .",ordering
"cho em cái màu xanh size M ạ , xanh nhạt ý ạ",ordering
cho 1 cốc cookies đá xay size lớn đến 83 duy tân hà nội,ordering
1 espresso đá   size regular,ordering
"Mình đặt cái này màu xanh , size 53 nhé",ordering
1 latte nóng size regular,ordering
 Cho e  một hồng trà kem phô mai size m vs ạ .,ordering
Minh muon dat Cái này size 140cm ,ordering
cho một cốc lattee nóng size nhỏ,ordering
3 cốc Espresso Nóng size small,ordering
Cho mình đặt 1 chiếc màu xanh navy size XL nhé,ordering
1 mocha đá size regular  ,ordering
Cho mình đặt 1c nhé .,ordering
Shop cho mình 1 màu mận size S nhé . Mui Nguyen_Thi có mua áo này k ?,ordering
"Chị đặt một cái green này nhé , size M_Thanks em",ordering
"Bạn ơi mình chuyển khoản cho bạn rồi nhé. mình lấy 1 màu ghi, 1 màu xanh tím_than size M nhé.số điện thoại 0986231568",ordering
cho một latte nóng size nhỏ,ordering
Đặt size 35 màu đen shop,ordering
"bạn ơi 2 cái navy sai M và 1 cái navy size XL, bạn nhé số điện thoại của mình là 0985955858 có gì thì bạn nhắn lại vào facebook cho mình nhé , áo trần trám cho nam bạn nhé",ordering
Cho mình size L ,ordering
cho mình 1 trà chanh đá size regular và 1 latte đá size regular,ordering
 3 cốc boba size m nhé .,ordering
1 toffee hạnh nhân nóng size regular,ordering
" Cho e 1 trà xanh chanh quất mật ong,tsữa dưa gang,yaku xoài size lớn hết .",ordering
"sample: [Làm cho em 1 ly trà đào cam sả size m có thêm thạch matcha tý 9h e về qua lấy dk k ạ,Làm cho em 1 ly trà đào cam sả size m có thêm thạch matcha tý 9h em về qua lấy được không ạ]",ordering
"Cho mình 1 đỏ size m nhé , Việt_Nhung",ordering
Em đăng_ký 1cái size 110 màu cam ạ,ordering
 ship em 1 trà sữa bạc hà pudding size L đến số nhà 8 nghách 60 ngõ 157 chùa láng với ạ .,ordering
cho 2 cà phê sữa đá size small và 2 ly cà phê sữa đá size regular,ordering
 1 dâu size m .,ordering
cho mình 1 latte đá size small và 1 latte đá size regular,ordering
Còn order được hồng nhạt size S không chị,ordering
Minh muon lay 1 ao size 140 k mau blue . Pve 1 quang trung hk hn 0989998575,ordering
1 hazelnut đá xay size regular,ordering
E đặt 2 cái,ordering
"Mình order 1 size L mầu navy , 1 size s màu đen . Đăng_ký chuyển khoản thế_nào bạn ?",ordering
cho một toffee hạnh nhân size s,ordering
1 mocha đá xay size regular,ordering
Shop oi e dat cai den size 160 va mau kem nhe,ordering
1 espresso sữa nóng size regular,ordering
Áo này size M_Đặt được không ạ ?,ordering
"Cho em đặt áo này màu trắng , size S với ạ , muốn qua shop đặt cho nhanh mà đúng hôm shop chia hàng , huhu",ordering
1 caramel machiato nóng size regular,ordering
Cho mình 1 áo vàng size M ,ordering
cho một toffee hạnh nhân nóng size s,ordering
"Bichngoc_Nguyen đặt hộ anh 1 áo size L , black , link dưới thấy vẫn còn",ordering
Cho mình đặt size L nhé,ordering
2 cốc Espresso Đá size regular,ordering
 Còn lại size M hết bạn nhé .,ordering
 Mình muốn mua 5 cốc trà sữa vị hokkaido size L .,ordering
cho thêm 1 trà đào cam sả size small,ordering
Đặt cô 1 đôi size 42 đi nhé,ordering
 Ship cho mình 1 trà sữa milk tea size m thêm nhân rau câu nhé. .,ordering
" Cho em 1 trà xanh chanh quất mật ong,trà sữa dưa gang,yaku xoài size lớn hết .",ordering
"chị ơi , em muốn lấy 1 cái này size 90 màu nâu ah",ordering
cho mình 1 trà chanh đá size regular và 1 latte đá size regular,ordering
Cho mình 1 cái size M nhé . Thanks shop,ordering
cho mình 1 latte đá size m,ordering
cho thêm 1 espresso size s,ordering
Em đặt 1 quần nam dài size nhỏ 52kg,ordering
 Tất cả đều size M .,ordering
 cho mình 3 panda size m .,ordering
Cho 1 cái này size M nhé,ordering
"Cho minh cai mau cam dang ngan , size xs nhe",ordering
cho mình 1 americano size small và 1 americano size medium,ordering
cho một black tea macchiato size small,ordering
1 cookies đá xay size regular,ordering
 thôi làm esize l đi ạ .,ordering
Cho mình đặt 1 đôi size 37,ordering
 Cho mình 2 trà sữa trân châu hoàng gia size M .,ordering
 em đặt 3 trà sữa vị trà xanh size vừa ạ .,ordering
t2 cho to 1 cai size M den 46 Tran_Phu_Ba dinh nhe,ordering
Em order đôi đen nè size 37 ạ.Có cần cọc trước không shop ?,ordering
Bichngoc_Nguyen cho anh đặt 1 áo size M màu 24 Brown với nhé,ordering
cho một trà đào cam sả size lớn,ordering
cho 2 trà nho đen đá size m,ordering
cho 2 trà nho đen đá size m,ordering
 cho mình 3 panda size m .,ordering
 Cho mình size M .,ordering
"Shop ơi , cho mình đặt 1 cái size XL màu nâu đỏ nhé",ordering
1 cappucino đá   size regular,ordering
"ôi XS hết sạch size rồi à , còn mỗi ghi sáng , cho tớ 1 ghi sáng XS nhé .",ordering
1 espresso sữa đá   size regular,ordering
 Và 1 bạc hà size m ít đá và có rau câu ạ .,ordering
1 tách Americano Nóng size small,ordering
 Đều size M hết nhé .,ordering
1 espresso nóng size regular,ordering
bạn ơi mình order 1 cái màu trắng size 32 của nữ nhé^_^,ordering
 Ship e 2 cốc hồng trà thêm bánh butding size M .,ordering
 thôi làm em size l đi ạ .,ordering
cho tôi thêm 1 cà phê sữa đá   size regular,ordering
 Còn lại sz M hết b nhé .,ordering
cho mình 1 latte đá size regular và 1 trà đào cam sả  size small,ordering
"C muốn order size 130 , về trước tết kg e ?",ordering
cho mình 1 latte đá size m,ordering
cho thêm 1 latte đá size medium vào đơn hàng,ordering
1 mocha đá xay size regular,ordering
