content,label
Đặt 1 đôi size 38 nhé,ordering
Em đăng ký bộ vàng mẫu mặc size M với bộ xanh size S nhé,ordering
cho cái màu hồng size M&L,ordering
đặt hoojem size M với,ordering
"cho mình cái vàng ,size s nhé",ordering
em muốn đặt đôi này size 23 cm ,ordering
1 tách Bạc Sỉu size small,ordering
 Mình vừa báo lại 5 cốc size m nhé,ordering
ship cho mình 1 caramen macchiato và 1 mocha đá size s đến 82 duy tân nhé,ordering
cho một trà đào cam sả size s,ordering
"Chị đặt áo hồng bé gái size 140 nhé đặt luôn hộ chị không hết hàng . Chị thấy thông_báo mua 3 ngày hôm_nay không phải đặt_cọc mà , đặt hộ chị luôn nhé",ordering
Nhận hộ áo xanh coban size M nhé,ordering
 là 5 cốc size M nhé .,ordering
cho một trà đào cam sả size m,ordering
Cho mình 1 cái size M nhé . Tks shop,ordering
 thế cho mình 2 cốc 3 anh em size M . ,ordering
 1 dâu size m .,ordering
"Cho minh cai vang , size s nhe",ordering
 1 trà sữa bánh pudding size L nha bạn .,ordering
B ơi m ck cho b r nhé.m lấy 1 màu ghi 1 màu xanh tím_than size M nhé.số đt 0986231568,ordering
cho thêm 1 espresso size s,ordering
cho mình 1 cốc sinh tố việt quất size m,ordering
"Tớ order mau hồng cánh_sen size M , đặt dc inform tớ ck nhé",ordering
 - cho em 1 trà sữa hoàng gia size to và 1 đĩa nem rán .,ordering
 1 cốc trà sữa ô long trân châu size M nữa bạn nhé .,ordering
cho mình thêm 1 americano đá size nhỏ nữa,ordering
 1 cốc trà sữa ô long trân châu sz M nữa bạn nhé .,ordering
cho tôi đặt hàng : 1 latte nóng size regular,ordering
cho 1 ly latte đá size regular đến 72 duy tân,ordering
Shop ơi cho mình đặt đôi này . size 37.5,ordering
 ship e 1 trà sữa bặc hà pudding size L đến số nhà 8 nghách 60 ngõ 157 chùa láng với ạ .,ordering
cho một trà đào size lớn,ordering
Mình 1 cái size s nhé,ordering
"em inbox rồi ạ , cho em thêm 1 nâu + ghi sẫm size S nhé , sđt 0986.398.389 chị gửi kèm hàng cùng đơn hôm trước giúp em .",ordering
cho thêm 2 nâu nóng size regular nữa nhé,ordering
Chị 1 navy size M ,ordering
Nga Do chị đặt giúp em 1 áo màu hồng size 150 với nhé,ordering
1 soda táo xanh size regular,ordering
 Cho em một hồng trà kem phô mai size m với ạ .,ordering
cho tôi một cốc cà phê nóng size nhỏ,ordering
cho 2 americano nóng medium size tới 17 duy tân nhé,ordering
 Cho em 3 kim cương đen trân châu đen size L với nà .,ordering
 Cho em 1 cốc trà sữa panda size L ạ .,ordering
1 trà hoa đậu biếc macchiato size regular,ordering
Em đặt size M 2 áo xanh còn lại được không chị . Ship em áo cam kia chị nhé . Địa_chỉ : 21 hàng thiếc . Số điện thoại : 01666775552,ordering
"Ship cho mình cái màu xanh size 150 đến đc P1609 toà B chung_cư 789 Mỹ_Đình 1 , Nam Từ_Liêm , HN. Đt 0904310277 . Thanh_toán khi nhận hàng bạn nhé .",ordering
1 trà đào cam sả size regular,ordering
1 cappucino nóng size regular,ordering
cho mình 1 latte đá size small và 1 latte đá size regular,ordering
1 latte đá   size regular,ordering
 ship cho chi 2 coc tra sua size L co tran trau .,ordering
Đỗ_Thành ơi chị order đen size L với,ordering
"Mình order 1 size L mầu navy , 1 size s màu đen . Đăng_ký ck thế_nào bạn ?",ordering
Em ơi đặt giúp chị 2 cái size S mầu Xanh và Trắng nhé - điện thoại : 01696687273 địa/chỉ : 104-5C - ngõ 96 võ_thị_sáu-Hai bà trưng-Hà nội,ordering
" Cho e 1 trà xanh chanh quất mật ong,tsữa dưa gang,yaku xoài size lớn hết .",ordering
"Hoàng_Tùng đặt cho cô chiếc màu đỏ , size 140 ",ordering
"Mình 01 trắng , size S điện thoại : 0901796682",ordering
1 áo khoác chống nước size XL nhé shop,ordering
Mình muốn lấy 2cái extra nam size M và 2 quần nam ,ordering
1 sô cô la đá xay size regular,ordering
cho mình 1 sinh tố việt quất size small và một sinh tố việt quất size regular,ordering
1 sinh tố cam xoài size regular,ordering
cho mình thêm 2 cà phê đen đá size small và 1 cà phê đen đá size regular,ordering
C lấy 1 áo màu trắng nhé .,ordering
 Tất cả đều size M nhé .,ordering
1 latte đá   size regular,ordering
1 tách Cà Phê Đen Nóng size regular,ordering
1 mojito chanh dây size regular,ordering
Cho mình mua màu nâu size S,ordering
1 espresso nóng size regular,ordering
cho mình 1 trà nho đen nóng size small và 1 trà nho đen nóng size regular,ordering
cho 5 cốc latte nóng size vừa,ordering
 ship cho mình 1 trà sữa bạc size L hà Đến bệnh Viện phụ sản Hà Nội.  SĐT : 0976555629 .,ordering
cho một trà đào cam sả size lớn,ordering
cho một trà chanh size m,ordering
1 trà đen macchiato size regular,ordering
1 trà đen macchiato size regular,ordering
cho tôi một cốc cà phê nóng size nhỏ,ordering
 size M .,ordering
Bich_Ngoc_Le : cho em cai ke xanh size M nhoes,ordering
